browser,count
Chrome,11402
Firefox,5672
Internet Explorer,2334
Mobile Safari,1765
Safari,1367
Android Browser,512
Opera,355
Chrome Mobile,198
Chrome Mobile iOS,185
Chromium,114
Firefox Mobile,96
Mobile Silk,64
Opera Mini,56
Maxthon,47
BlackBerry Browser,42
Sogou Explorer,28
IE Mobile,23
Yandex Browser,22
Opera Mobile,21
Chrome Frame,21
Puffin,18
Iceweasel,16
Iron,15
UC Browser,13
RockMelt,12
Amigo,8
CoolNovo,7
Liebao,7
SeaMonkey,7
Pale Moon,6
QQ Browser,6
CometBird,5
NetFront,5
Mercury,5
Nokia Browser,4
,4
wOSBrowser,4
IceDragon,3
Camino,3
Facebook,3
Kindle Browser,3
Nokia Ovi Browser,2
Baidu Spark,2
Chrome Webview,2
Dolphin,2
ONE Browser,1
Avant Browser,1
Thunderbird,1
BingWebApp,1
QuickLook,1
Epic,1
Lunascape,1
Fennec,1
Opera Next,1
Flock,1
GNOME Web,1
AdobeAIR,1
Midori,1
